iterCount,type,time,latitude,longitude,depth,scalar,AnomalyScore,AnomalyMean_Windowsize,AnomalyLikelihood,logLikelihood,place,id,prediction
550,earthquake,2010-08-20T02:52:35.570Z,51.367,-178.503,54.1,5.2,0.0,"(0.38475499092558985, None)",0.5,0.0301029996658834,"Andreanof Islands, Aleutian Islands, Alaska",usp000hjg9,None
551,earthquake,2010-08-20T08:47:30.200Z,-6.55,154.185,35,5.4,0.0,"(0.38405797101449274, None)",0.5,0.0301029996658834,"Bougainville region, Papua New Guinea",usp000hjgs,None
552,earthquake,2010-08-20T13:08:57.420Z,-55.879,-28.063,112.8,5.2,0.0,"(0.3833634719710669, None)",0.5,0.0301029996658834,South Sandwich Islands region,usp000hjgy,None
553,earthquake,2010-08-20T16:40:33.740Z,54.156,-166.159,108.1,5.2,0.0,"(0.38267148014440433, None)",0.5,0.0301029996658834,"Fox Islands, Aleutian Islands, Alaska",usp000hjh4,None
554,earthquake,2010-08-20T16:57:15.580Z,39.321,71.817,13,5.2,0.0,"(0.38198198198198197, None)",0.5,0.0301029996658834,Kyrgyzstan,usp000hjh5,None
555,earthquake,2010-08-20T17:56:14.150Z,-6.57,154.246,19,6.1,0.0,"(0.38129496402877699, None)",0.5,0.0301029996658834,"Bougainville region, Papua New Guinea",usp000hjh9,None
556,earthquake,2010-08-21T00:54:18.430Z,53.584,162.943,38.2,5.2,1.0,"(0.38240574506283664, None)",0.5,0.0301029996658834,"off the east coast of the Kamchatka Peninsula, Russia",usp000hjhs,None
557,earthquake,2010-08-21T05:42:52.880Z,2.221,96.717,24,5.9,0.0,"(0.38172043010752688, None)",0.5,0.0301029996658834,"Simeulue, Indonesia",usp000hjj7,None
558,earthquake,2010-08-21T14:54:57.190Z,-27.544,-67.345,142.1,5.1,0.0,"(0.38103756708407871, None)",0.5,0.0301029996658834,"Catamarca, Argentina",usp000hjjt,None
559,earthquake,2010-08-21T18:48:00.990Z,24.754,121.983,8.1,5.1,0.0,"(0.38035714285714284, None)",0.5,0.0301029996658834,Taiwan,usp000hjk1,None
560,earthquake,2010-08-21T20:20:14.980Z,6.028,-77.974,14.5,5.4,0.0,"(0.37967914438502676, None)",0.5,0.0301029996658834,near the west coast of Colombia,usp000hjk5,None
561,earthquake,2010-08-21T23:03:34.080Z,-6.153,149.885,51.2,5,0.0,"(0.37900355871886121, None)",0.5,0.0301029996658834,"New Britain region, Papua New Guinea",usp000hjkb,None
562,earthquake,2010-08-22T03:49:58.000Z,-36.532,-73.718,19.1,5,0.0,"(0.37833037300177619, None)",0.5,0.0301029996658834,"offshore Bio-Bio, Chile",usp000hjkp,None
563,earthquake,2010-08-22T08:06:32.600Z,-21.135,-67.269,152.5,5.1,0.0,"(0.37765957446808512, None)",0.5,0.0301029996658834,"Potosi, Bolivia",usp000hjky,None
564,earthquake,2010-08-22T09:33:06.580Z,19.441,147.374,26,5.6,0.0,"(0.37699115044247788, None)",0.5,0.0301029996658834,Mariana Islands region,usp000hjm2,None
565,earthquake,2010-08-22T10:22:58.000Z,37.24,19.95,24,5.5,0.0,"(0.37632508833922262, None)",0.5,0.0301029996658834,Ionian Sea,usp000hjm4,None
566,earthquake,2010-08-22T20:20:25.120Z,-6.235,154.36,35,5.2,0.0,"(0.37566137566137564, None)",0.5,0.0301029996658834,"Bougainville region, Papua New Guinea",usp000hjmr,None
567,earthquake,2010-08-23T01:08:08.850Z,12.805,143.558,116,5.5,0.0,"(0.375, None)",0.5,0.0301029996658834,Guam region,usp000hjmy,None
568,earthquake,2010-08-23T02:53:13.810Z,53.469,-164.523,35.7,5,0.0,"(0.37434094903339193, None)",0.5,0.0301029996658834,"Unimak Island region, Alaska",usp000hjn1,None
569,earthquake,2010-08-24T02:11:59.090Z,18.795,-107.193,10,6.2,0.0,"(0.37368421052631579, None)",0.5,0.0301029996658834,"off the coast of Jalisco, Mexico",usp000hjp2,None
570,earthquake,2010-08-24T06:07:53.450Z,-6.079,133.562,13.4,5.3,0.0,"(0.37302977232924694, None)",0.5,0.0301029996658834,"Kepulauan Aru region, Indonesia",usp000hjpa,None
571,earthquake,2010-08-24T08:34:19.610Z,36.508,71.251,226.1,5,0.0,"(0.3723776223776224, None)",0.5,0.0301029996658834,"Hindu Kush region, Afghanistan",usp000hjpf,None
572,earthquake,2010-08-24T20:48:04.610Z,6.748,123.564,594.5,5.2,0.0,"(0.37172774869109948, None)",0.5,0.0301029996658834,"Moro Gulf, Mindanao, Philippines",usp000hjqf,None
573,earthquake,2010-08-25T02:35:02.000Z,-21.172,-68.912,122.5,5.1,0.0,"(0.3710801393728223, None)",0.5,0.0301029996658834,"Tarapaca, Chile",usp000hjqt,None
574,earthquake,2010-08-25T04:06:17.340Z,-49.496,117.32,10,5,0.0,"(0.37043478260869567, None)",0.5,0.0301029996658834,western Indian-Antarctic Ridge,usp000hjqv,None
575,earthquake,2010-08-25T06:25:15.470Z,0.397,123.844,210.7,5,0.0,"(0.36979166666666669, None)",0.5,0.0301029996658834,"Minahasa, Sulawesi, Indonesia",usp000hjqy,None
576,earthquake,2010-08-25T08:55:53.370Z,-0.762,124.519,42.3,5.1,0.0,"(0.36915077989601386, None)",0.5,0.0301029996658834,Molucca Sea,usp000hjr7,None
577,earthquake,2010-08-25T12:02:37.000Z,-22.704,-69.184,76.9,5.1,0.0,"(0.36851211072664358, None)",0.5,0.0301029996658834,"Antofagasta, Chile",usp000hjrk,None
578,earthquake,2010-08-25T13:14:37.640Z,-35.089,-72.246,31.7,5,0.0,"(0.36787564766839376, None)",0.5,0.0301029996658834,"offshore Maule, Chile",usp000hjrm,None
579,earthquake,2010-08-25T16:46:34.560Z,2.705,128.623,234.6,5,0.0,"(0.36724137931034484, None)",0.5,0.0301029996658834,"Halmahera, Indonesia",usp000hjrw,None
580,earthquake,2010-08-25T21:09:05.950Z,-6.043,150.31,26.9,5,0.0,"(0.36660929432013767, None)",0.5,0.0301029996658834,"New Britain region, Papua New Guinea",usp000hjs4,None
581,earthquake,2010-08-25T22:57:17.960Z,-21.869,-174.504,10,5,0.0,"(0.36597938144329895, None)",0.5,0.0301029996658834,Tonga,usp000hjs7,None
582,earthquake,2010-08-26T04:21:30.700Z,-6.598,130.154,140.1,5,0.0,"(0.36535162950257288, None)",0.5,0.0301029996658834,Banda Sea,usp000hjsh,None
