time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-07T08:50:53.610Z,-7.4513,154.7588,10,5,mb,,72,4.141,0.68,us,us20002dbz,2015-05-07T17:10:09.900Z,"148km SSW of Panguna, Papua New Guinea",earthquake
2015-05-07T08:12:37.390Z,-7.1816,154.5247,10,5,mb,,72,3.787,0.71,us,us20002dbi,2015-05-07T16:15:11.445Z,"142km SW of Panguna, Papua New Guinea",earthquake
2015-05-07T08:05:44.550Z,-7.36,154.3748,10,5,mb,,80,3.84,0.91,us,us20002dbe,2015-05-07T16:08:17.791Z,"168km SW of Panguna, Papua New Guinea",earthquake
2015-05-07T07:36:30.350Z,-7.3934,154.8285,10,5.1,mb,,85,4.141,1.14,us,us20002db0,2015-05-07T15:39:06.513Z,"139km SSW of Panguna, Papua New Guinea",earthquake
2015-05-07T07:10:22.000Z,-7.2255,154.5511,23.18,7.1,mww,,10,3.837,1.14,us,us20002das,2015-05-09T19:56:36.000Z,"144km SW of Panguna, Papua New Guinea",earthquake
2015-05-06T22:16:38.000Z,-14.4196,166.7164,44.55,5.1,mb,,64,1.124,0.62,us,us20002cdu,2015-05-22T22:27:39.297Z,"78km NNW of Port-Olry, Vanuatu",earthquake
2015-05-06T12:08:39.430Z,-25.6,178.2083,613.5,5,mb,,47,4.996,0.81,us,us20002c7n,2015-05-06T20:11:18.295Z,"South of the Fiji Islands",earthquake
2015-05-06T07:06:48.270Z,-5.6528,152.1344,46.65,5.2,mb,,62,1.452,0.93,us,us20002c5d,2015-05-06T15:11:14.950Z,"144km S of Kokopo, Papua New Guinea",earthquake
2015-05-06T03:17:16.390Z,-5.5524,152.6354,46.26,5.4,mb,,44,1.431,0.89,us,us20002c40,2015-05-06T11:20:37.228Z,"127km SSW of Taron, Papua New Guinea",earthquake
2015-05-06T01:35:12.290Z,-6.3339,149.8385,47.41,5,mb,,88,3.145,0.62,us,us20002c3i,2015-05-19T00:04:42.107Z,"34km ESE of Kandrian, Papua New Guinea",earthquake
2015-05-05T21:28:31.320Z,35.2918,58.4853,10,5,mb,,67,2.646,0.68,us,us20002c1u,2015-05-06T07:02:55.872Z,"6km NNE of Kashmar, Iran",earthquake
2015-05-05T20:53:21.080Z,-15.3529,67.2173,10,5.3,mb,,40,12.34,0.78,us,us20002c13,2015-05-18T03:56:42.000Z,"Mid-Indian Ridge",earthquake
2015-05-05T20:39:48.420Z,-5.6327,152.0511,58.35,5.1,mb,,89,1.436,0.68,us,us20002c0x,2015-05-07T21:49:25.726Z,"143km S of Kokopo, Papua New Guinea",earthquake
2015-05-05T20:01:15.650Z,-15.4061,67.0894,24.48,5,mb,,56,19.307,0.86,us,us20002c08,2015-05-07T21:46:57.815Z,"Mid-Indian Ridge",earthquake
2015-05-05T08:47:08.010Z,-5.5892,152.2508,55.66,5,mb,,65,1.391,0.72,us,us20002br9,2015-05-19T08:52:44.490Z,"136km S of Kokopo, Papua New Guinea",earthquake
2015-05-05T08:16:58.480Z,-5.5315,152.2264,46,5.3,mb,,29,1.333,0.73,us,us20002br8,2015-05-19T06:30:22.452Z,"130km S of Kokopo, Papua New Guinea",earthquake
2015-05-05T08:02:46.740Z,-19.0253,168.9546,162.09,5.2,mb,,26,3.836,0.61,us,us20002br7,2015-05-18T12:48:34.819Z,"66km NNW of Isangel, Vanuatu",earthquake
2015-05-05T05:03:01.190Z,-5.1267,152.3974,55.71,5.2,mb,,88,0.958,0.66,us,us20002bqa,2015-05-05T13:05:39.708Z,"86km S of Kokopo, Papua New Guinea",earthquake
2015-05-05T03:55:51.760Z,-5.5293,152.3347,51.76,5.2,mb,,125,1.34,0.88,us,us20002bpu,2015-05-05T11:58:21.664Z,"130km S of Kokopo, Papua New Guinea",earthquake
